,S.no,SupervisorComments,Reason,Comments,SolutionGiven,CheckDescription,MachineName,CheckType,DepartmentName
0,0,Flame off timer was set 40 sec.,MAINTENANCE BREAKDOWN,change the flame off timer as per s o p,Set it 10 sec.,CHECK FOR MAINTENANCE BREAKDOWN,Auto Brazing,MAINTENANCE,Coil Shop
1,9,Switch contact was not functioning properly.,MAINTENANCE BREAKDOWN,M/C Run switch was not working,Replace the push button,CHECK FOR MAINTENANCE BREAKDOWN,Finpress-3-JDM 7mm 4P,MAINTENANCE,Coil Shop
2,11,F007 error: Over Load,MAINTENANCE BREAKDOWN,uncoilar motor trip,change the start command of drive.,CHECK FOR MAINTENANCE BREAKDOWN,Finpress-3-JDM 7mm 4P,MAINTENANCE,Coil Shop
3,16,taking high amplitude at the starting time ,MAINTENANCE BREAKDOWN,uncoilar motor trip,modify the motor start command connection,CHECK FOR MAINTENANCE BREAKDOWN,Finpress-3-JDM 7mm 4P,MAINTENANCE,Coil Shop
4,24,It's Push button was not functional proper.,MAINTENANCE BREAKDOWN,oil charging m/c not working,Replace the push button,CHECK FOR MAINTENANCE BREAKDOWN,G0 Assembly Line,MAINTENANCE,Assembly Line
5,26,start button was damaged.,MAINTENANCE BREAKDOWN,oil charging m/c not working,Replace the start button,CHECK FOR MAINTENANCE BREAKDOWN,G0 Assembly Line,MAINTENANCE,Assembly Line
6,40,start button was damaged.,sensor bypass,NIL,Replace the fume detector controller,Check the Scissor lifts for Hazards,Auto Brazing,CLIRT,Coil Shop
7,41,controller was defective,safety sensor bypass,Fume detector sensor was not working.,Replace the fume detector controller,Check the Scissor lifts for Hazards,Auto Brazing,CLIRT,Coil Shop
8,42,controller was defective,safety sensor bypass,NIL,Replace the fume detector controller,Check the Scissor lifts for Hazards,Auto Brazing,CLIRT,Coil Shop
9,43,controller was defective,safety sensor bypass,NIL,Replace the fume detector controller,Check the Hoses for Cleanliness,Auto Brazing,CLIRT,Coil Shop
10,48,controller was defective,sensor bypass,NIL,Replace the fume detector controller,Check the Hoses for Cleanliness,Auto Brazing,CLIRT,Coil Shop
11,49,controller was defective,sensor bypass,NIL,Replace the fume detector controller,Check the Scissor lifts for Hazards,Auto Brazing,CLIRT,Coil Shop
12,51,IPC was faluty,MAINTENANCE BREAKDOWN,Sensor was not working,Replace the IPC,CHECK FOR MAINTENANCE BREAKDOWN,Spot Welding - 2,MAINTENANCE,Fabrication
