,Plant,Department,Machine,Parts_Produced,Runtime,Downtime,Availablity,Performance,Quality,OEE,Norms,Not_Defined,Minor_Stoppages,Setup_Loss,Tools_Replacement,Maintenanace,Management_Loss,Internal_Logistics_Loss,Quality_Rework,Consumable_Loss,No_Plan,Others,Maximum_Value,Maximum_Value_Loss_Type,Minimum_Value,Minimum_Value_Loss_Type,description
0,Plant 1,Coil Shop,Hair Pin Bender,360843,50021.8407666666,47526.0205833333,61,85,99,49,46.0,34430.4967833333,7745.84301666666,6178.6411,76.8177333333333,2902.2979,636.446483333333,0.0,537.045033333333,33.2854666666667,14635.3501666667,2730.99008333333,34430.4967833333,Not_Defined,0.0,Internal_Logistics_Loss,"The Hair Pin Bender in the Coil Shop of Plant 1 Produced 360843 Parts with an  Uptime of 50021 minutes and Down time of 47526 minutes.This Particular Machine has a availability of - 61%, Performance of - 85%, Quality of - 99% and OEE of - 49% Respectively.The maximum and minimum loss among the No Plan, SetUp Loss,Minor Stoppage, Tools Replacement, Maintenance, Management Loss , Not Defined, Internal Logistic Loss , Quality Rework, Cosumable Loss and others was found to be Not_Defined - 34430 Minutes and Internal_Logistics_Loss - 0 Minutes respectively.This Information was captured between 1st January 2023 to 9th October 2023."
1,Plant 1,Coil Shop,Fin Press 1,10429360,57756.1338333333,44067.8156,66,82,100,59,100.0,19932.233,8402.32883333334,11580.9854333333,116.158583333333,10444.7566666667,757.5427,11.95945,30.2406,0.0,20492.6702,1193.93916666667,20492.6702,No_Plan,0.0,Consumable_Loss,"The Fin Press 1 in the Coil Shop of Plant 1 Produced 10429360 Parts with an  Uptime of 57756 minutes and Down time of 44067 minutes.This Particular Machine has a availability of - 66%, Performance of - 82%, Quality of - 100% and OEE of - 59% Respectively.The maximum and minimum loss among the No Plan, SetUp Loss,Minor Stoppage, Tools Replacement, Maintenance, Management Loss , Not Defined, Internal Logistic Loss , Quality Rework, Cosumable Loss and others was found to be No_Plan - 20492 Minutes and Consumable_Loss - 0 Minutes respectively.This Information was captured between 1st January 2023 to 9th October 2023."
2,Plant 1,Coil Shop,Vertical Expander Oak,4763,118274.44115,31642.1236333333,66,97,99,65,100.0,19188.5106166667,647.330316666666,7558.6492,188.876966666667,901.466266666667,2061.9324,0.0,29.9968833333333,0.0,27097.41755,1712.6913,27097.41755,No_Plan,0.0,Internal_Logistics_Loss,"The Vertical Expander Oak in the Coil Shop of Plant 1 Produced 4763 Parts with an  Uptime of 118274 minutes and Down time of 31642 minutes.This Particular Machine has a availability of - 66%, Performance of - 97%, Quality of - 99% and OEE of - 65% Respectively.The maximum and minimum loss among the No Plan, SetUp Loss,Minor Stoppage, Tools Replacement, Maintenance, Management Loss , Not Defined, Internal Logistic Loss , Quality Rework, Cosumable Loss and others was found to be No_Plan - 27097 Minutes and Internal_Logistics_Loss - 0 Minutes respectively.This Information was captured between 1st January 2023 to 9th October 2023."
3,Plant 1,Coil Shop,Horizantal Expander,194004,36613.07305,79670.7544333333,55,292,100,130,93.0,76312.3420833333,1209.67745,3354.41226666667,0.0,0.0,0.0,0.0,0.0,0.0,42740.3241333333,4.00008333333333,76312.3420833333,Not_Defined,0.0,Tools_Replacement,"The Horizantal Expander in the Coil Shop of Plant 1 Produced 194004 Parts with an  Uptime of 36613 minutes and Down time of 79670 minutes.This Particular Machine has a availability of - 55%, Performance of - 292%, Quality of - 100% and OEE of - 130% Respectively.The maximum and minimum loss among the No Plan, SetUp Loss,Minor Stoppage, Tools Replacement, Maintenance, Management Loss , Not Defined, Internal Logistic Loss , Quality Rework, Cosumable Loss and others was found to be Not_Defined - 76312 Minutes and Tools_Replacement - 0 Minutes respectively.This Information was captured between 1st January 2023 to 9th October 2023."
4,Plant 1,Coil Shop,Vertical Expander Jingda,12771,98098.77825,37594.34955,59,84,100,51,100.0,31045.5219166666,3010.7197,4359.66056666667,41.8331166666667,1030.3354,378.499383333333,12.4999833333333,0.0,0.0,49250.0707666667,725.999183333333,49250.0707666667,No_Plan,0.0,Quality_Rework,"The Vertical Expander Jingda in the Coil Shop of Plant 1 Produced 12771 Parts with an  Uptime of 98098 minutes and Down time of 37594 minutes.This Particular Machine has a availability of - 59%, Performance of - 84%, Quality of - 100% and OEE of - 51% Respectively.The maximum and minimum loss among the No Plan, SetUp Loss,Minor Stoppage, Tools Replacement, Maintenance, Management Loss , Not Defined, Internal Logistic Loss , Quality Rework, Cosumable Loss and others was found to be No_Plan - 49250 Minutes and Quality_Rework - 0 Minutes respectively.This Information was captured between 1st January 2023 to 9th October 2023."
5,Plant 1,Coil Shop,Fin Press 2,3653571,33218.0807666667,34931.3068166667,60,88,100,54,100.0,22814.8830333333,3738.39273333333,10326.3426166667,259.402983333333,284.897816666667,747.25505,0.0,0.0,0.0,11894.5226,498.525316666667,22814.8830333333,Not_Defined,0.0,Internal_Logistics_Loss,"The Fin Press 2 in the Coil Shop of Plant 1 Produced 3653571 Parts with an  Uptime of 33218 minutes and Down time of 34931 minutes.This Particular Machine has a availability of - 60%, Performance of - 88%, Quality of - 100% and OEE of - 54% Respectively.The maximum and minimum loss among the No Plan, SetUp Loss,Minor Stoppage, Tools Replacement, Maintenance, Management Loss , Not Defined, Internal Logistic Loss , Quality Rework, Cosumable Loss and others was found to be Not_Defined - 22814 Minutes and Internal_Logistics_Loss - 0 Minutes respectively.This Information was captured between 1st January 2023 to 9th October 2023."
6,Plant 1,Assembly Line,Assembly Line 1,4798,43274.5144166667,9310.4342,87,103,99,89,73.0,5244.21226666667,314.107483333333,139.527983333333,15.1093166666667,266.098933333333,132.337333333333,1255.21233333333,305.61045,0.0,6304.20798333334,1952.32558333333,6304.20798333334,No_Plan,0.0,Consumable_Loss,"The Assembly Line 1 in the Assembly Line of Plant 1 Produced 4798 Parts with an  Uptime of 43274 minutes and Down time of 9310 minutes.This Particular Machine has a availability of - 87%, Performance of - 103%, Quality of - 99% and OEE of - 89% Respectively.The maximum and minimum loss among the No Plan, SetUp Loss,Minor Stoppage, Tools Replacement, Maintenance, Management Loss , Not Defined, Internal Logistic Loss , Quality Rework, Cosumable Loss and others was found to be No_Plan - 6304 Minutes and Consumable_Loss - 0 Minutes respectively.This Information was captured between 1st January 2023 to 9th October 2023."
7,Plant 1,Assembly Line,Assembly Line 2,920,10388.9095166667,3503.60013333333,74,145,100,77,,3085.30726666667,54.3042666666667,47.4319833333333,0.0,0.0,62.7733,0.0,0.0,0.0,789.896816666667,308.087583333333,3085.30726666667,Not_Defined,0.0,Tools_Replacement,"The Assembly Line 2 in the Assembly Line of Plant 1 Produced 920 Parts with an  Uptime of 10388 minutes and Down time of 3503 minutes.This Particular Machine has a availability of - 74%, Performance of - 145%, Quality of - 100% and OEE of - 77% Respectively.The maximum and minimum loss among the No Plan, SetUp Loss,Minor Stoppage, Tools Replacement, Maintenance, Management Loss , Not Defined, Internal Logistic Loss , Quality Rework, Cosumable Loss and others was found to be Not_Defined - 3085 Minutes and Tools_Replacement - 0 Minutes respectively.This Information was captured between 1st January 2023 to 9th October 2023."
8,Plant 1,Assembly Line,Assembly Line 3,8735,85840.5235500001,24245.1520333333,81,141,99,70,106.0,11616.39075,327.343416666667,458.784533333333,0.0,407.961433333333,500.632633333333,226.3234,479.425533333333,147.253666666667,1437.37503333333,10408.3800833333,11616.39075,Not_Defined,0.0,Tools_Replacement,"The Assembly Line 3 in the Assembly Line of Plant 1 Produced 8735 Parts with an  Uptime of 85840 minutes and Down time of 24245 minutes.This Particular Machine has a availability of - 81%, Performance of - 141%, Quality of - 99% and OEE of - 70% Respectively.The maximum and minimum loss among the No Plan, SetUp Loss,Minor Stoppage, Tools Replacement, Maintenance, Management Loss , Not Defined, Internal Logistic Loss , Quality Rework, Cosumable Loss and others was found to be Not_Defined - 11616 Minutes and Tools_Replacement - 0 Minutes respectively.This Information was captured between 1st January 2023 to 9th October 2023."
9,Plant 1,Assembly Line,Assembly Line 4,4190,41877.95275,6681.84428333334,85,159,99,101,98.0,4553.18401666667,155.591716666667,389.500833333333,26.0000166666667,50.50005,964.0306,236.621083333333,278.999133333333,50.0014333333333,4873.55778333333,133.007116666667,4873.55778333333,No_Plan,26.0000166666667,Tools_Replacement,"The Assembly Line 4 in the Assembly Line of Plant 1 Produced 4190 Parts with an  Uptime of 41877 minutes and Down time of 6681 minutes.This Particular Machine has a availability of - 85%, Performance of - 159%, Quality of - 99% and OEE of - 101% Respectively.The maximum and minimum loss among the No Plan, SetUp Loss,Minor Stoppage, Tools Replacement, Maintenance, Management Loss , Not Defined, Internal Logistic Loss , Quality Rework, Cosumable Loss and others was found to be No_Plan - 4873 Minutes and Tools_Replacement - 26 Minutes respectively.This Information was captured between 1st January 2023 to 9th October 2023."
